Retrieved,BPI DATE,BPI BUY,BPI SELL,SB DATE,SB BUY,SB SELL
2020-05-25 12:41:12.336223,2020-05-22 09:23:00,32.2033,34.1011,2020-05-22 09:05:00,31.2757,34.2617
2020-05-26 12:06:49.362023,2020-05-26 09:23:00,32.1462,34.0422,2020-05-26 08:58:00,31.3229,34.2849
2020-05-27 12:17:04.219481,2020-05-27 09:19:00,32.4423,34.3577,2020-05-27 08:48:00,31.5534,34.4856
2020-05-28 14:35:03.718391,2020-05-28 09:24:00,32.5304,34.4455,2020-05-27 08:48:00,31.5534,34.4856
2020-05-28 21:13:34.485491,2020-05-28 09:24:00,32.5304,34.4455,2020-05-27 08:48:00,31.5534,34.4856
2020-05-29 13:43:03.309397,2020-05-29 09:24:00,32.4577,34.3746,2020-05-27 08:48:00,31.5534,34.4856
2020-06-02 02:25:04.414316,2020-06-01 09:29:00,32.6759,34.6062,2020-06-01 08:45:00,31.8615,34.8348
2020-06-02 10:45:38.360819,2020-06-02 09:29:00,33.0843,35.0406,2020-06-02 08:47:00,32.2529,35.4003
2020-06-03 13:46:48.945962,2020-06-03 09:39:00,33.7884,35.7881,2020-06-02 08:47:00,32.2529,35.4003
2020-06-05 11:44:23.557784,2020-06-05 09:27:00,33.5775,35.566,2020-06-05 09:18:00,32.6316,35.6943
2020-06-08 12:49:26.170558,2020-06-08 09:41:00,33.7159,35.7155,2020-06-08 09:01:00,32.7186,35.9362
2020-06-09 12:53:01.781845,2020-06-09 09:48:00,33.8633,35.8721,2020-06-09 09:25:00,32.9594,35.9826
2020-06-11 23:17:59.480379,2020-06-11 09:27:00,33.6767,35.6748,2020-06-11 08:42:00,32.7146,35.9308
2020-06-15 14:07:00.212446,2020-06-15 09:38:00,33.1288,35.0911,2020-06-11 08:42:00,32.7146,35.9308
2020-06-16 20:54:46.257198,2020-06-16 09:30:00,33.7588,35.7578,2020-06-16 08:38:00,32.9182,35.9698
2020-06-18 01:02:32.064644,2020-06-17 09:28:00,33.3395,35.3144,2020-06-17 08:28:00,32.3391,35.4646
2020-06-18 14:42:40.712862,2020-06-18 09:20:00,33.2382,35.2092,2020-06-18 08:30:00,32.3927,35.5171
2020-06-19 11:30:30.074628,2020-06-19 09:20:00,33.2497,35.2183,2020-06-19 08:39:00,32.3484,35.4026
2020-06-22 16:23:56.419426,2020-06-22 09:35:00,33.065,35.0281,2020-06-22 08:45:00,32.1488,35.2281
2020-06-23 11:56:12.230273,2020-06-23 09:42:00,33.6105,35.5965,2020-06-23 08:45:00,32.6447,35.7133
2020-06-24 12:07:22.991998,2020-06-24 10:08:00,33.6756,35.6718,2020-06-24 08:45:00,32.8101,35.8578
2020-06-25 21:30:38.234812,2020-06-25 09:22:00,33.2087,35.1791,2020-06-25 08:57:00,32.2986,35.4148
2020-06-26 13:06:03.145891,2020-06-26 09:25:00,33.2192,35.1892,,,
